,ts_code,ann_date,f_ann_date,end_date,c_recp_return_invest,n_cashflow_act
1059,600895.SH,20200416,20200416,20191231,357012865.41,-6731829838.47
1060,600896.SH,20200229,20200229,20191231,746831.0,-73575739.01
1061,600897.SH,20200417,20200417,20191231,26791776.08,732836621.21
1062,600908.SH,20200328,20200328,20191231,302172000.0,4005455000.0
1063,600909.SH,20200330,20200330,20191231,14174119.73,3605559350.86
1064,600919.SH,20200411,20200411,20191231,24168542000.0,-57957767000.0
1065,600929.SH,20200403,20200403,20191231,13597798.09,278563521.95
1066,600933.SH,20200415,20200415,20191231,34951782.86,949250193.1
1067,600958.SH,20200328,20200328,20191231,3945878626.74,10385033926.77
1068,600962.SH,20200401,20200401,20191231,,-195703500.88
1069,600963.SH,20200311,20200311,20191231,2610000.0,602237069.03
1070,600968.SH,20200410,20200410,20191231,164221822.89,2931268600.84
1071,600970.SH,20200324,20200324,20191231,10047600.96,250831333.09
1072,600973.SH,20200331,20200331,20191231,337178.01,48663173.57
1073,600975.SH,20200414,20200414,20191231,382635.0,-73134551.13
1074,600976.SH,20200418,20200418,20191231,24845191.48,74449432.67
1075,600980.SH,20200414,20200414,20191231,,80405049.28
1076,600982.SH,20200317,20200317,20191231,36464356.74,382975012.0
1077,600985.SH,20200328,20200328,20191231,8538940.85,9434307073.57
1078,600987.SH,20200410,20200410,20191231,,1003308819.07
1079,600989.SH,20200316,20200316,20191231,,3572586031.8
1080,600997.SH,20200410,20200410,20191231,56400000.0,2609464560.75
1081,600999.SH,20200328,20200328,20191231,2422525187.33,9988552735.5
1082,601003.SH,20200415,20200415,20191231,,4885387069.19
1083,601005.SH,20200330,20200330,20191231,15894000.0,-405326000.0
1084,601008.SH,20200327,20200327,20191231,58146576.73,587236658.78
1085,601010.SH,20200415,20200415,20191231,14087557.35,724920551.94
1086,601015.SH,20200326,20200326,20191231,4949456.25,480906761.5
1087,601016.SH,20200331,20200331,20191231,,1574003942.73
1088,601018.SH,20200411,20200411,20191231,628008000.0,283660000.0
1089,601066.SH,20200327,20200327,20191231,,36690821003.28
1090,601068.SH,20200331,20200331,20191231,85862731.87,1095976848.08
1091,601069.SH,20200331,20200331,20191231,,149877131.16
1092,601077.SH,20200327,20200327,20191231,12926435000.0,23851259000.0
1093,601086.SH,20200418,20200418,20191231,16003802.45,180301726.66
1094,601088.SH,20200328,20200328,20191231,1930000000.0,63106000000.0
1095,601107.SH,20200331,20200331,20191231,61927252.46,1828681550.68
1096,601111.SH,20200401,20200401,20191231,635498000.0,38340183000.0
1097,601116.SH,20200417,20200417,20191231,165859.2,79446931.72
1098,601118.SH,20200415,20200415,20191231,69701145.42,924417274.71
1099,601126.SH,20200327,20200327,20191231,160709076.92,860747324.05
1100,601138.SH,20200331,20200331,20191231,165213000.0,6439287000.0
1101,601155.SH,20200328,20200328,20191231,1977729544.0,43580181744.0
1102,601158.SH,20200402,20200402,20191231,84665304.9,2241922142.86
1103,601168.SH,20200313,20200313,20191231,557285.0,3874963709.0
1104,601186.SH,20200331,20200331,20191231,1023430000.0,40005838000.0
1105,601200.SH,20200410,20200410,20191231,7889695.21,1645655520.8
1106,601211.SH,20200325,20200325,20191231,3615193760.0,36396109791.0
1107,601228.SH,20200331,20200331,20191231,83343497.14,2655838447.7
1108,601231.SH,20200408,20200408,20191231,89050886.96,2425772253.61
1109,601236.SH,20200330,20200330,20191231,771506.85,-7062582927.82
1110,601238.SH,20200401,20200401,20191231,8083834242.0,-380571401.0
1111,601288.SH,20200331,20200331,20191231,223034000000.0,352571000000.0
1112,601298.SH,20200327,20200327,20191231,1753786173.0,2965989770.0
1113,601318.SH,20200221,20200221,20191231,183635000000.0,249445000000.0
1114,601319.SH,20200328,20200328,20191231,41073000000.0,36808000000.0
1115,601326.SH,20200328,20200328,20191231,62666248.84,2453136528.16
1116,601328.SH,20200328,20200328,20191231,86965000000.0,-82545000000.0
1117,601330.SH,20200328,20200328,20191231,,-48189535.55
1118,601333.SH,20200331,20200331,20191231,7046552.0,2395245101.0
1119,601336.SH,20200326,20200326,20191231,34926000000.0,42102000000.0
1120,601369.SH,20200410,20200410,20191231,302077440.59,915853073.84
1121,601390.SH,20200331,20200331,20191231,1919373000.0,22197786000.0
1122,601398.SH,20200328,20200328,20191231,,694521000000.0
1123,601512.SH,20200416,20200416,20191231,187786109.64,-1683726561.04
1124,601518.SH,20200321,20200321,20191231,,480206892.52
1125,601577.SH,20200330,20200330,20191231,9810635000.0,-25788568000.0
1126,601579.SH,20200417,20200417,20191231,2393082.04,273775336.49
1127,601598.SH,20200401,20200401,20191231,1122466978.38,3319984464.89
1128,601600.SH,20200327,20200327,20191231,336638000.0,12576862000.0
1129,601601.SH,20200323,20200323,20191231,61689000000.0,111795000000.0
1130,601607.SH,20200328,20200328,20191231,366135906.49,6022385613.17
1131,601608.SH,20200324,20200324,20191231,45408070.85,450792207.82
1132,601618.SH,20200401,20200401,20191231,383519000.0,17577933000.0
1133,601619.SH,20200310,20200310,20191231,,661436722.45
1134,601628.SH,20200326,20200326,20191231,142015000000.0,286032000000.0
1135,601636.SH,20200410,20200410,20191231,,2017309139.11
1136,601658.SH,20200326,20200326,20191231,121729000000.0,26443000000.0
1137,601688.SH,20200331,20200331,20191231,2481577826.2,20440490712.79
1138,601696.SH,20200326,20200326,20191231,173976685.27,10329125407.53
1139,601698.SH,20200417,20200417,20191231,6734000.0,1963313127.71
1140,601717.SH,20200328,20200328,20191231,24067696.58,2852217599.45
1141,601727.SH,20200416,20200416,20191231,1252921000.0,10505138000.0
1142,601766.SH,20200331,20200331,20191231,628440000.0,22530536000.0
1143,601788.SH,20200328,20200328,20191231,1189080687.57,35709151640.49
1144,601798.SH,20200418,20200418,20191231,13909482.91,-204892793.51
1145,601799.SH,20200418,20200418,20191231,89728583.45,1080001537.97
1146,601800.SH,20200401,20200401,20191231,2010263408.0,5931260061.0
1147,601801.SH,20200418,20200418,20191231,31222290.72,1142957434.75
1148,601808.SH,20200326,20200326,20191231,411173899.0,6968341176.0
1149,601811.SH,20200331,20200331,20191231,110970093.25,1364410519.62
1150,601816.SH,20200416,20200416,20191231,,16722820391.15
1151,601818.SH,20200328,20200328,20191231,59415000000.0,65100000000.0
1152,601828.SH,20200418,20200418,20191231,158223578.75,4093981030.6
1153,601857.SH,20200327,20200327,20191231,7725000000.0,359610000000.0
1154,601860.SH,20200325,20200325,20191231,305079000.0,10012601000.0
1155,601865.SH,20200420,20200420,20191231,8272192.47,510196692.57
1156,601866.SH,20200328,20200328,20191231,1008893753.63,8566492059.51
1157,601878.SH,20200319,20200319,20191231,,406222689.05
1158,601880.SH,20200327,20200327,20191231,269461080.44,1606591983.51
1159,601881.SH,20200328,20200328,20191231,2071075677.58,41335582076.01
1160,601882.SH,20200317,20200317,20191231,4745694.44,218162778.86
1161,601886.SH,20200331,20200331,20191231,68499138.9,991005281.3
1162,601898.SH,20200321,20200321,20191231,941360000.0,21983917000.0
1163,601899.SH,20200321,20200321,20191231,409661967.0,10665557013.0
1164,601916.SH,20200330,20200330,20191231,29168894000.0,-11544555000.0
1165,601919.SH,20200331,20200331,20191231,2048694468.93,21202371528.39
1166,601939.SH,20200330,20200330,20191231,192870000000.0,581287000000.0
1167,601958.SH,20200411,20200411,20191231,6276560.56,1464775179.08
1168,601966.SH,20200414,20200414,20191231,,2799896129.0
1169,601969.SH,20200327,20200327,20191231,15288140.0,1034802280.0
1170,601975.SH,20200320,20200320,20191231,,1166398208.27
1171,601988.SH,20200328,20200328,20191231,157630000000.0,-484266000000.0
1172,601990.SH,20200402,20200402,20191231,,972557930.4
1173,601991.SH,20200331,20200331,20191231,1291148000.0,21669762000.0
1174,601992.SH,20200401,20200401,20191231,674105241.47,9521681287.81
1175,601996.SH,20200410,20200410,20191231,1893164.22,86216764.03
1176,601998.SH,20200327,20200327,20191231,373000000.0,116969000000.0
1177,603000.SH,20200417,20200417,20191231,69177210.38,568358878.74
1178,603005.SH,20200323,20200323,20191231,1324645.31,133527705.05
1179,603013.SH,20200402,20200402,20191231,11590639.44,810730700.38
1180,603016.SH,20200327,20200327,20191231,8299735.6,77752835.49
1181,603018.SH,20200326,20200326,20191231,21328667.43,404258942.15
1182,603019.SH,20200328,20200328,20191231,51950197.97,3173782934.88
1183,603022.SH,20200410,20200410,20191231,1249957.53,84757554.51
1184,603025.SH,20200310,20200310,20191231,29311546.87,355942186.4
1185,603026.SH,20200410,20200410,20191231,31023749.66,-119498606.05
1186,603027.SH,20200418,20200418,20191231,10230528.64,191991964.23
1187,603039.SH,20200331,20200331,20191231,5653776.99,238072659.26
1188,603041.SH,20200320,20200320,20191231,,74787710.1
1189,603042.SH,20200418,20200418,20191231,376571.2,43080733.09
1190,603050.SH,20200416,20200416,20191231,857986.47,162833577.81
1191,603058.SH,20200420,20200420,20191231,38902963.6,63476536.18
1192,603060.SH,20200330,20200330,20191231,15772923.17,202460814.08
1193,603068.SH,20200410,20200410,20191231,9221277.97,25150024.24
1194,603078.SH,20200312,20200312,20191231,,44235073.13
1195,603090.SH,20200331,20200331,20191231,2641909.99,26125058.29
1196,603093.SH,20200314,20200314,20191231,20011964.36,349671860.91
1197,603099.SH,20200416,20200416,20191231,141736.98,123503823.29
1198,603103.SH,20200313,20200313,20191231,45685707.48,580625357.75
1199,603111.SH,20200403,20200403,20191231,519053.41,406444245.37
1200,603113.SH,20200416,20200416,20191231,56674604.73,487252376.34
1201,603121.SH,20200410,20200410,20191231,10058842.4,82226185.47
1202,603126.SH,20200330,20200330,20191231,4437043.04,121412022.8
1203,603127.SH,20200413,20200413,20191231,3498119.09,148092126.18
1204,603128.SH,20200327,20200327,20191231,2033067.75,281833788.64
1205,603156.SH,20200418,20200418,20191231,387911939.56,1671449718.82
1206,603158.SH,20200416,20200416,20191231,26668211.23,106940966.62
1207,603161.SH,20200331,20200331,20191231,545000.0,346734821.51
1208,603165.SH,20200404,20200404,20191231,1579563.2,425819191.27
1209,603166.SH,20200326,20200326,20191231,,347486955.06
1210,603167.SH,20200416,20200416,20191231,15928023.31,566755794.11
1211,603179.SH,20200328,20200328,20191231,,-49366342.17
1212,603180.SH,20200410,20200410,20191231,420565.53,402125219.51
1213,603181.SH,20200401,20200401,20191231,22389896.16,98461062.81
1214,603183.SH,20200416,20200416,20191231,2763726.02,69756061.61
1215,603185.SH,20200318,20200328,20191231,24619184.01,-91141625.82
1216,603186.SH,20200312,20200312,20191231,205164.38,125338964.32
1217,603187.SH,20200310,20200310,20191231,9928388.36,192200685.6
1218,603189.SH,20200418,20200418,20191231,,34667202.69
1219,603192.SH,20200418,20200418,20191231,4445208.92,89401787.37
1220,603208.SH,20200418,20200418,20191231,,323665793.38
1221,603214.SH,20200327,20200327,20191231,8245461.71,129104160.97
1222,603217.SH,20200414,20200414,20191231,1618517.37,78315988.47
1223,603225.SH,20200327,20200327,20191231,20924045.03,1824543845.06
1224,603228.SH,20200317,20200317,20191231,,873593060.9
1225,603229.SH,20200403,20200403,20191231,,87729755.39
1226,603236.SH,20200415,20200415,20191231,2331250.0,-143946666.41
1227,603238.SH,20200417,20200417,20191231,1806459.85,217718814.83
1228,603239.SH,20200415,20200415,20191231,,121441807.04
1229,603258.SH,20200420,20200420,20191231,23171222.95,312420620.44
1230,603259.SH,20200325,20200325,20191231,118318229.02,2916032312.7
1231,603267.SH,20200320,20200320,20191231,8408739.73,175091864.32
1232,603278.SH,20200325,20200325,20191231,3454980.26,196621093.97
1233,603288.SH,20200326,20200326,20191231,206648007.09,6567569488.52
1234,603289.SH,20200418,20200418,20191231,,94210676.03
1235,603290.SH,20200408,20200408,20191231,356277.94,88326556.08
1236,603300.SH,20200415,20200415,20191231,739720.0,812861858.99
1237,603303.SH,20200312,20200312,20191231,26660999.29,304432084.31
1238,603305.SH,20200408,20200408,20191231,5963602.72,485816618.53
1239,603309.SH,20200414,20200414,20191231,1435016.65,178794590.55
1240,603317.SH,20200331,20200331,20191231,28712297.95,377957402.95
1241,603318.SH,20200326,20200326,20191231,3289643.62,70848384.91
1242,603319.SH,20200411,20200411,20191231,273255.69,180560308.25
1243,603320.SH,20200416,20200416,20191231,1854198.67,67762830.82
1244,603322.SH,20200418,20200418,20191231,0.0,38997785.12
1245,603326.SH,20200414,20200414,20191231,4940025.55,86141627.28
1246,603327.SH,20200320,20200320,20191231,1547321.91,223524450.22
1247,603331.SH,20200330,20200330,20191231,1580528.54,34933177.47
1248,603335.SH,20200313,20200313,20191231,344720.0,106071085.09
1249,603336.SH,20200313,20200313,20191231,331123.28,25283858.34
1250,603337.SH,20200331,20200331,20191231,,251385626.73
1251,603339.SH,20200416,20200416,20191231,,369100908.49
1252,603345.SH,20200414,20200414,20191231,25657912.84,576571946.57
1253,603348.SH,20200331,20200331,20191231,6938505.48,234751943.74
1254,603360.SH,20200320,20200320,20191231,1210338.68,240066206.82
1255,603363.SH,20200410,20200410,20191231,234000.0,394159196.0
1256,603365.SH,20200411,20200411,20191231,16931165.15,235400111.77
1257,603378.SH,20200418,20200418,20191231,23968.12,426916173.41
1258,603380.SH,20200417,20200417,20191231,13444546.85,163206435.27
1259,603383.SH,20200408,20200408,20191231,21104274.81,120940523.48
1260,603385.SH,20200320,20200320,20191231,422231436.32,226771472.69
1261,603386.SH,20200409,20200409,20191231,170754.57,45498977.56
1262,603387.SH,20200324,20200324,20191231,29157009.83,225732761.76
1263,603393.SH,20200331,20200331,20191231,522521.78,1200219691.17
1264,603396.SH,20200416,20200416,20191231,,-87034157.55
1265,603429.SH,20200408,20200408,20191231,644009.47,217346312.94
1266,603444.SH,20200409,20200409,20191231,62446387.23,1297052995.4
1267,603456.SH,20200409,20200409,20191231,,554161971.62
1268,603466.SH,20200416,20200416,20191231,19404886.6,252765242.58
1269,603477.SH,20200228,20200228,20191231,,54936780.29
1270,603488.SH,20200417,20200417,20191231,17204483.87,69284747.45
1271,603489.SH,20200414,20200414,20191231,6095135.38,268517692.15
1272,603496.SH,20200327,20200327,20191231,1073491.64,15613509.98
1273,603500.SH,20200320,20200320,20191231,7659446.61,39731067.94
1274,603501.SH,20200410,20200410,20191231,106375.49,805335234.79
1275,603507.SH,20200403,20200403,20191231,4042775.02,-132938714.7
1276,603508.SH,20200409,20200409,20191231,14095911.04,540429028.1
1277,603516.SH,20200328,20200328,20191231,11144596.02,12551349.45
1278,603520.SH,20200331,20200331,20191231,1800000.0,246768072.47
1279,603528.SH,20200409,20200409,20191231,16747833.67,102509436.08
1280,603533.SH,20200411,20200411,20191231,12134688.4,308800798.29
1281,603535.SH,20200402,20200402,20191231,,195015550.89
1282,603536.SH,20200416,20200416,20191231,,105567986.46
1283,603558.SH,20200311,20200311,20191231,4861872.9,350866739.71
1284,603569.SH,20200418,20200418,20191231,15562452.05,555489677.06
1285,603577.SH,20200325,20200325,20191231,4371.68,-10270082.3
1286,603578.SH,20200328,20200328,20191231,10241311.46,245315676.47
1287,603579.SH,20200327,20200327,20191231,401714.64,446466294.73
1288,603580.SH,20200327,20200327,20191231,1727794.52,29906304.77
1289,603587.SH,20200408,20200408,20191231,26335924.65,725141148.85
1290,603595.SH,20200320,20200320,20191231,488568.49,25622650.78
1291,603596.SH,20200402,20200402,20191231,3317627.4,757679984.09
1292,603605.SH,20200402,20200402,20191231,4653362.83,235961328.34
1293,603606.SH,20200402,20200402,20191231,,672022556.4
1294,603609.SH,20200331,20200331,20191231,39407633.67,1111605966.58
1295,603613.SH,20200320,20200320,20191231,,379722775.31
1296,603615.SH,20200404,20200404,20191231,9231668.31,139744659.7
1297,603617.SH,20200331,20200331,20191231,,68946226.5
1298,603636.SH,20200403,20200403,20191231,,-121994386.47
1299,603637.SH,20200410,20200410,20191231,707792.32,435192262.98
1300,603638.SH,20200418,20200418,20191231,,193264541.92
1301,603656.SH,20200418,20200418,20191231,20080794.23,42306866.54
1302,603657.SH,20200415,20200415,20191231,4595338.21,126218926.11
1303,603659.SH,20200327,20200327,20191231,9037000.12,490428912.93
1304,603663.SH,20200320,20200320,20191231,,59754009.06
1305,603666.SH,20200416,20200416,20191231,18408109.38,7797614.93
1306,603668.SH,20200228,20200228,20191231,244949.67,745597965.4
1307,603669.SH,20200418,20200418,20191231,20846208.13,235605006.04
1308,603677.SH,20200222,20200222,20191231,5337598.98,113942085.07
1309,603678.SH,20200318,20200318,20191231,10753486.05,232138778.21
1310,603686.SH,20200415,20200415,20191231,,323180866.8
1311,603696.SH,20200417,20200417,20191231,10178527.93,37905922.33
1312,603700.SH,20200410,20200410,20191231,10127757.43,139720756.72
1313,603706.SH,20200417,20200417,20191231,17708084.47,146284220.55
1314,603712.SH,20200318,20200318,20191231,7813663.62,221236494.68
1315,603713.SH,20200402,20200402,20191231,6643610.59,212514355.26
1316,603725.SH,20200416,20200416,20191231,3135829.95,77381141.6
1317,603727.SH,20200320,20200320,20191231,,-44724008.74
1318,603733.SH,20200403,20200403,20191231,120623962.64,455643309.19
1319,603737.SH,20200410,20200410,20191231,1542139.74,399892555.24
1320,603776.SH,20200420,20200420,20191231,4886085.46,392136580.97
1321,603799.SH,20200328,20200328,20191231,21516907.59,2599671576.78
1322,603801.SH,20200416,20200416,20191231,17939746.77,344382382.47
1323,603806.SH,20200321,20200321,20191231,39126007.38,434941650.99
1324,603813.SH,20200331,20200331,20191231,,63157815.67
1325,603817.SH,20200410,20200410,20191231,2761366.58,223225599.43
1326,603822.SH,20200218,20200218,20191231,,132261067.21
1327,603823.SH,20200418,20200418,20191231,7758049.18,184416960.63
1328,603826.SH,20200331,20200331,20191231,4856154.33,140586685.6
1329,603838.SH,20200417,20200417,20191231,2708000.0,48474562.2
1330,603839.SH,20200403,20200403,20191231,38030700.63,11008664.66
1331,603856.SH,20200326,20200326,20191231,4371931.48,101754691.22
1332,603860.SH,20200331,20200331,20191231,3630399.98,69285665.31
1333,603866.SH,20200415,20200415,20191231,22225361.63,887834094.1
1334,603878.SH,20200331,20200331,20191231,18391374.68,46223863.17
1335,603879.SH,20200417,20200417,20191231,4680780.82,16943896.41
1336,603881.SH,20200314,20200314,20191231,,190353248.66
1337,603885.SH,20200411,20200411,20191231,120869.47,2736747856.15
1338,603886.SH,20200417,20200417,20191231,29211227.12,341199524.52
1339,603887.SH,20200331,20200331,20191231,,144196351.85
1340,603889.SH,20200409,20200409,20191231,6730355.87,398646453.55
1341,603896.SH,20200402,20200402,20191231,3675008.55,207918192.58
1342,603897.SH,20200415,20200415,20191231,28723845.16,380865193.8
1343,603899.SH,20200414,20200414,20191231,24216354.35,1081941383.68
1344,603901.SH,20200418,20200418,20191231,100120.0,166603115.09
1345,603903.SH,20200417,20200417,20191231,1550500.0,265768396.22
1346,603916.SH,20200416,20200416,20191231,,419128935.5
1347,603917.SH,20200416,20200416,20191231,2316854.79,103653611.24
1348,603919.SH,20200331,20200331,20191231,1065555.56,370864384.64
1349,603920.SH,20200415,20200415,20191231,9026323.14,575904295.64
1350,603927.SH,20200417,20200417,20191231,,389192578.28
1351,603929.SH,20200327,20200327,20191231,8793195.1,-197191770.77
1352,603933.SH,20200320,20200320,20191231,13450118.59,67072118.39
1353,603938.SH,20200320,20200320,20191231,5120115.06,38797697.05
1354,603939.SH,20200409,20200409,20191231,,963234234.64
1355,603955.SH,20200415,20200415,20191231,982884.72,139369511.74
1356,603967.SH,20200409,20200409,20191231,26707046.03,214183910.7
1357,603968.SH,20200418,20200418,20191231,15039759.42,285328016.52
1358,603977.SH,20200415,20200415,20191231,12577806.52,183068960.09
1359,603979.SH,20200415,20200415,20191231,,574741907.59
1360,603986.SH,20200327,20200327,20191231,10033049.65,967347203.67
1361,603987.SH,20200331,20200331,20191231,4122827.5,256366254.09
1362,603989.SH,20200331,20200331,20191231,40592889.17,155887681.28
1363,603992.SH,20200414,20200414,20191231,,267353140.91
1364,603993.SH,20200330,20200330,20191231,1632774545.59,1704827883.87
1365,603995.SH,20200420,20200420,20191231,1235076.94,388558495.7
1366,603997.SH,20200331,20200331,20191231,3794096.47,1169463785.71
1367,688001.SH,20200416,20200416,20191231,3082140.26,-107272730.35
1368,688002.SH,20200408,20200408,20191231,282426.02,159138165.34
1369,688003.SH,20200418,20200418,20191231,159455.94,-9533726.21
1370,688009.SH,20200326,20200326,20191231,61958760.28,3371360784.87
1371,688011.SH,20200417,20200417,20191231,5549865.32,9305792.76
1372,688012.SH,20200417,20200417,20191231,20095019.9,133270991.54
1373,688015.SH,20200409,20200409,20191231,5835786.72,430257632.65
1374,688016.SH,20200330,20200330,20191231,10147559.89,143202857.0
1375,688018.SH,20200310,20200310,20191231,,102315848.26
1376,688021.SH,20200416,20200416,20191231,56000.0,19959482.92
1377,688023.SH,20200415,20200415,20191231,,216516098.73
1378,688025.SH,20200420,20200420,20191231,287914.65,18324911.42
1379,688028.SH,20200415,20200415,20191231,,82897770.47
1380,688029.SH,20200331,20200331,20191231,13138024.18,252490245.2
1381,688058.SH,20200416,20200416,20191231,1979794.52,18304802.13
1382,688101.SH,20200410,20200410,20191231,,236317186.78
1383,688111.SH,20200325,20200325,20191231,45212011.9,585691496.95
1384,688122.SH,20200331,20200331,20191231,186015.42,-109504459.37
1385,688123.SH,20200417,20200417,20191231,,73773739.34
1386,688138.SH,20200416,20200416,20191231,,102685252.56
1387,688139.SH,20200326,20200326,20191231,46626505.35,280486898.86
1388,688159.SH,20200415,20200415,20191231,1969850.93,-2037098.79
1389,688166.SH,20200410,20200410,20191231,4522727.72,61333887.77
1390,688168.SH,20200420,20200420,20191231,,22940105.08
1391,688178.SH,20200420,20200420,20191231,1822112.32,31863789.08
1392,688186.SH,20200331,20200331,20191231,18118585.0,-23846154.56
1393,688196.SH,20200326,20200326,20191231,,178971646.9
1394,688199.SH,20200418,20200418,20191231,172861.11,153901917.19
1395,688202.SH,20200416,20200416,20191231,112733.34,58299144.52
1396,688208.SH,20200331,20200331,20191231,2660136.99,229137596.39
1397,688278.SH,20200330,20200330,20191231,,123301259.4
1398,688288.SH,20200404,20200404,20191231,355002.04,62203124.1
1399,688299.SH,20200416,20200416,20191231,1323069.42,130713158.2
1400,688357.SH,20200420,20200420,20191231,,41604752.25
1401,688358.SH,20200331,20200331,20191231,2121346.73,79827109.35
1402,688366.SH,20200327,20200327,20191231,88292847.22,348910880.12
1403,688388.SH,20200331,20200331,20191231,8129342.07,472132435.8
1404,688389.SH,20200331,20200331,20191231,5435861.9,91824906.79
1405,688398.SH,20200417,20200417,20191231,,59740514.62
